user_id,grid_cell,grid_lat,grid_lon,visit_frequency,avg_dwell_time_minutes,most_common_hour,most_common_day
1,39.861_116.453,39.861,116.453,10,36.009251045,12,4
1,39.878_116.499,39.878,116.499,82,189.66720895243904,8,2
1,39.879_116.428,39.879,116.428,14,61.12955719047619,12,6
1,39.887_116.307,39.887,116.307,2,22.877466666666667,17,4
1,39.925_116.533,39.925,116.533,62,589.4490714663979,18,6
1,39.939_116.235,39.939,116.235,18,65.19895409907409,13,1
1,39.942_116.317,39.942,116.317,17,57.35296700490196,13,3
1,39.955_116.351,39.955,116.351,4,36.2465137375,8,0
1,40.038_116.2,40.038,116.2,10,59.42470174166666,15,0
2,39.871_116.423,39.871,116.423,3,94.22839658888888,21,0
2,39.912_116.321,39.912,116.321,15,66.87144699555554,14,1
2,39.912_116.322,39.912,116.322,1,23.949763916666665,1,2
2,39.928_116.414,39.928,116.414,1,74.565198,0,3
2,39.955_116.513,39.955,116.513,23,701.6851045413044,12,6
2,39.955_116.514,39.955,116.514,39,676.4603425042734,19,3
2,39.991_116.441,39.991,116.441,1,17.105389733333332,13,1
2,39.997_116.563,39.997,116.563,95,183.83358405894737,8,1
2,39.99_116.441,39.99,116.441,19,71.42779157017544,12,3
2,40.017_116.424,40.017,116.424,10,64.81123124666667,13,0
2,40.035_116.251,40.035,116.251,19,53.9589090254386,13,1
3,39.861_116.47,39.861,116.47,9,48.10684656111111,13,1
3,39.883_116.246,39.883,116.246,2,28.815375608333337,21,1
3,39.883_116.247,39.883,116.247,3,39.63156058888888,1,3
3,39.899_116.503,39.899,116.503,50,836.4248501773333,20,0
3,39.901_116.407,39.901,116.407,6,38.40722209166666,14,1
3,39.928_116.481,39.928,116.481,7,65.47758566190475,12,2
3,39.928_116.482,39.928,116.482,10,34.43175733333333,12,2
3,39.92_116.528,39.92,116.528,90,186.86614131685184,8,1
3,39.931_116.281,39.931,116.281,3,98.48890701111111,8,1
3,39.954_116.39,39.954,116.39,5,72.93942417333332,12,3
3,39.954_116.391,39.954,116.391,7,56.04573978095238,13,2
3,40.0_116.229,40.0,116.229,15,77.97035353111112,14,0
3,40.0_116.23,40.0,116.23,4,20.505642475000002,9,0
4,39.811_116.412,39.811,116.412,75,191.73740375733334,8,0
4,39.861_116.406,39.861,116.406,54,597.3016681527778,23,2
4,39.892_116.403,39.892,116.403,14,49.38428930833333,13,3
4,39.89_116.328,39.89,116.328,18,67.01947811203704,13,0
4,40.024_116.23,40.024,116.23,21,44.93907836825397,13,0
4,40.046_116.489,40.046,116.489,3,49.077203566666675,2,2
4,40.0_116.496,40.0,116.496,2,120.260519625,9,4
5,39.887_116.363,39.887,116.363,22,43.322556948484845,13,0
5,39.938_116.498,39.938,116.498,8,76.55078467083334,22,0
5,39.956_116.491,39.956,116.491,17,81.48885085392158,14,3
5,39.984_116.365,39.984,116.365,16,75.81040150520833,13,4
5,39.98_116.225,39.98,116.225,66,226.67768056414144,8,0
5,39.98_116.226,39.98,116.226,10,16.05,16,3
5,40.017_116.265,40.017,116.265,1,8.25,21,2
5,40.017_116.266,40.017,116.266,59,599.9928184288135,20,6
6,39.918_116.392,39.918,116.392,2,117.226433275,8,6
6,39.921_116.24,39.921,116.24,9,39.44727415555556,13,2
6,39.955_116.296,39.955,116.296,9,70.04779160555555,8,3
6,40.029_116.276,40.029,116.276,7,26.163744561904764,13,1
6,40.029_116.277,40.029,116.277,8,97.50702129375,8,0
6,40.031_116.471,40.031,116.471,22,61.54221896212123,14,1
6,40.045_116.332,40.045,116.332,7,33.730737821428576,8,1
6,40.049_116.236,40.049,116.236,2,7.75,11,0
6,40.04_116.383,40.04,116.383,10,44.850565153333335,11,2
6,40.05_116.235,40.05,116.235,1,25.25,21,3
6,40.05_116.236,40.05,116.236,57,685.8558198780701,22,0
6,40.107_116.262,40.107,116.262,84,204.6841708892857,7,0
7,39.886_116.392,39.886,116.392,19,70.08251113596491,8,2
7,39.965_116.433,39.965,116.433,15,72.0658610211111,12,1
7,39.967_116.412,39.967,116.412,105,177.62813217190478,8,2
7,39.978_116.215,39.978,116.215,13,56.57153437692308,19,1
7,40.001_116.41,40.001,116.41,74,613.1540808342343,18,6
7,40.002_116.41,40.002,116.41,6,421.96699388611114,20,3
7,40.031_116.254,40.031,116.254,41,47.591379875609746,13,4
8,39.861_116.339,39.861,116.339,71,183.2674894537559,8,0
8,39.901_116.444,39.901,116.444,4,102.23160135416667,8,6
8,39.903_116.323,39.903,116.323,10,65.73544055666666,13,1
8,39.919_116.325,39.919,116.325,51,615.2323342620915,12,6
8,39.996_116.257,39.996,116.257,13,71.77186921794872,13,0
8,40.012_116.305,40.012,116.305,2,18.0,15,0
8,40.013_116.305,40.013,116.305,11,74.97046861212122,8,1
8,40.018_116.228,40.018,116.228,13,51.712213658974356,13,1
8,40.019_116.228,40.019,116.228,4,75.01534085416665,9,3
