user_id,total_trajectories,total_distance_km,total_points,avg_daily_distance_km,avg_speed_kmh,max_speed_kmh,num_unique_stay_points,most_visited_lat,most_visited_lon,avg_trajectory_duration_min,active_hours,home_lat,home_lon,work_lat,work_lon
1,8,3682.3430193305785,94108,81.82984487401285,9.82899240083363,3469.176605514049,9,39.878080271892195,116.49933031540897,8217.904697083333,"[13, 14, 15]",39.92491321579597,116.53274699209582,39.878092645950964,116.4993126147097
2,5,4141.182459926913,105636,79.63812422936371,3.8215850481159577,4292.062695935669,11,39.996730880699026,116.56314015412721,14941.65117930667,"[14, 12, 13]",39.95485298604853,116.51350347254362,39.99672258406864,116.56316263372526
3,3,3464.8810196530435,93998,72.18502124277174,2.801458476414199,2562.902063458491,13,39.919624158405654,116.52805937499406,23478.59046783889,"[13, 12, 14]",39.89866085216935,116.50333170962638,39.9196188538559,116.52806005610572
4,6,3008.903470375725,80358,77.151371035275,8.9204877079407,543.7206330307494,7,39.81060092021879,116.41199018997968,9557.07823078611,"[13, 12, 15]",39.86088116495814,116.405663193054,39.81061222393734,116.4119999740924
5,4,3353.5374264434736,88729,77.98924247542962,3.4833979676814235,1149.0643058416622,8,39.97993699412876,116.22547487000206,15796.731356895833,"[12, 13, 14]",40.016854897133065,116.26561025286013,39.97991435371635,116.22547344986575
6,1,3583.8058116701723,94890,76.2511874823441,3.1110303534127497,99.24094453310038,12,40.10736601072658,116.26194667862886,69118.04909403334,"[13, 14, 12]",40.04956612849625,116.23552136972219,40.10735905420321,116.26193885772682
7,1,3572.3847819613798,101927,66.15527374002555,2.7063985820211465,196.59102954661867,7,39.96668274476651,116.41201138710444,79198.63997179999,"[12, 13, 14]",40.0014821321824,116.41024249592682,39.96666652363246,116.41201415078784
8,1,2687.766982317084,74305,72.64235087343471,2.9471900104799373,192.65381239948988,9,39.8611590226422,116.33882053981182,54718.568658816665,"[12, 13, 14]",39.91863196685722,116.3250548229888,39.86115902944134,116.33882611946488
9,1,2435.649625537812,62311,81.1883208512604,3.273798875588498,94.1351433402584,9,39.94759958515633,116.46737459747479,44638.960145649995,"[13, 12, 14]",39.96235315140335,116.52768055089341,39.94760165624657,116.46736040719516
10,1,3531.9737343256147,100556,67.92257181395414,2.7767758935135287,48.132297852652115,10,39.98397111601145,116.4901079940058,76318.15896794999,"[12, 13, 14]",40.00831364093112,116.53486059919108,39.9840028400064,116.49011100472144
