poi_id,name,category,latitude,longitude
POI_001,Beijing Market 1,market,39.98938970559127,116.3187054520471
POI_002,Beijing Bus_stop 2,bus_stop,40.014286448361624,116.41976319183014
POI_003,Beijing Residential 3,residential,40.02069930048439,116.5108255699722
POI_004,Beijing Bus_stop 4,bus_stop,39.90573308971046,116.35201348038815
POI_005,Beijing School 5,school,39.94627708042914,116.23636143714194
POI_006,Beijing Market 6,market,40.003560307133796,116.26844517377403
POI_007,Beijing Residential 7,residential,39.914284641501524,116.35401200645498
POI_008,Beijing Hospital 8,hospital,39.91892530387022,116.45530183785985
POI_009,Beijing School 9,school,40.03408197970393,116.29698346418046
POI_010,Beijing Market 10,market,40.035901306637335,116.48803749220312
POI_011,Beijing Train_station 11,train_station,39.87280306125533,116.20942668831862
POI_012,Beijing Bus_stop 12,bus_stop,40.03097339651427,116.33575726470457
POI_013,Beijing Bus_stop 13,bus_stop,39.955512964344905,116.22109446797522
POI_014,Beijing Restaurant 14,restaurant,40.02644474690609,116.49465760958691
POI_015,Beijing Market 15,market,39.93280506078247,116.32782637152488
POI_016,Beijing Bus_stop 16,bus_stop,39.873362641324064,116.53353573584937
POI_017,Beijing Restaurant 17,restaurant,40.0492652993048,116.28177580662555
POI_018,Beijing Restaurant 18,restaurant,39.92959494708615,116.43027683921801
POI_019,Beijing Residential 19,residential,39.98982703873973,116.2218685122984
POI_020,Beijing Bus_stop 20,bus_stop,40.01638104401783,116.50218868993612
POI_021,Beijing School 21,school,40.032321558378044,116.36793186858368
POI_022,Beijing Train_station 22,train_station,40.01452336684766,116.3732297636598
POI_023,Beijing School 23,school,39.9982977703276,116.40025785676538
POI_024,Beijing School 24,school,39.91816070680462,116.24146431190749
POI_025,Beijing Bus_stop 25,bus_stop,39.91058039912641,116.25423014675486
POI_026,Beijing Park 26,park,39.94741998777992,116.27859687829036
POI_027,Beijing Hospital 27,hospital,39.87843349233493,116.20433314993646
POI_028,Beijing Restaurant 28,restaurant,39.90706253969531,116.3484933326835
POI_029,Beijing Bus_stop 29,bus_stop,39.91176397382852,116.42054512542751
POI_030,Beijing Residential 30,residential,40.02702428079749,116.30542318466398
POI_031,Beijing Restaurant 31,restaurant,39.85712762921765,116.22196675134693
POI_032,Beijing Train_station 32,train_station,39.96761488874339,116.34068165127877
POI_033,Beijing Park 33,park,39.86314997104155,116.42802984807905
POI_034,Beijing Hospital 34,hospital,39.91066363148827,116.51102460373679
POI_035,Beijing Bus_stop 35,bus_stop,39.96330571725026,116.23479722601199
POI_036,Beijing Train_station 36,train_station,40.04868056442217,116.24778657309251
POI_037,Beijing Market 37,market,39.85322516624764,116.21440309313893
POI_038,Beijing Park 38,park,40.04296294877205,116.4490833835444
POI_039,Beijing School 39,school,40.030879714904344,116.43141029205078
POI_040,Beijing Park 40,park,40.03299612554567,116.29413375883749
POI_041,Beijing Office 41,office,39.96632263981237,116.24413541593033
POI_042,Beijing Train_station 42,train_station,40.00047983915735,116.5039270219072
POI_043,Beijing Office 43,office,39.92044012405963,116.46394940138147
POI_044,Beijing Office 44,office,39.89237368511179,116.5065632269241
POI_045,Beijing Bus_stop 45,bus_stop,39.95135643669995,116.52541826273747
POI_046,Beijing Park 46,park,39.97277460403215,116.20143784669268
POI_047,Beijing Bus_stop 47,bus_stop,39.89861828635656,116.38007528640033
POI_048,Beijing Residential 48,residential,40.0374612386741,116.3455929718232
POI_049,Beijing Bus_stop 49,bus_stop,39.904562746942815,116.23953856644337
POI_050,Beijing Train_station 50,train_station,39.97031881366889,116.22609650050074
POI_051,Beijing Hospital 51,hospital,40.03448944116003,116.22139879845898
